v1	V(n001)	V(n002)	I(D)
-8.480000000000032e+00	-3.153698e-08	-1.347772e+01	-1.348772e-11
-8.470000000000033e+00	-3.153228e-08	-1.347772e+01	-1.348772e-11
-8.460000000000033e+00	-3.152759e-08	-1.347772e+01	-1.348772e-11
-8.450000000000033e+00	-3.152290e-08	-1.347772e+01	-1.348772e-11
-8.440000000000033e+00	-3.151821e-08	-1.347772e+01	-1.348772e-11
-8.430000000000033e+00	-3.151352e-08	-1.347772e+01	-1.348772e-11
-8.420000000000034e+00	-3.150883e-08	-1.347772e+01	-1.348772e-11
-8.410000000000034e+00	-3.150414e-08	-1.347771e+01	-1.348771e-11
-8.400000000000034e+00	-3.149945e-08	-1.347771e+01	-1.348771e-11
-8.390000000000034e+00	-3.149476e-08	-1.347771e+01	-1.348771e-11
-8.380000000000035e+00	-3.149007e-08	-1.347771e+01	-1.348771e-11
-8.370000000000035e+00	-3.148538e-08	-1.347771e+01	-1.348771e-11
-8.360000000000035e+00	-3.148068e-08	-1.347771e+01	-1.348771e-11
-8.350000000000035e+00	-3.147600e-08	-1.347771e+01	-1.348771e-11
-8.340000000000035e+00	-3.147131e-08	-1.347771e+01	-1.348771e-11
-8.330000000000036e+00	-3.146661e-08	-1.347771e+01	-1.348770e-11
-8.320000000000036e+00	-3.146192e-08	-1.347770e+01	-1.348770e-11
-8.310000000000036e+00	-3.145723e-08	-1.347770e+01	-1.348770e-11
-8.300000000000036e+00	-3.145254e-08	-1.347770e+01	-1.348770e-11
-8.290000000000036e+00	-3.144785e-08	-1.347770e+01	-1.348770e-11
-8.280000000000037e+00	-3.144316e-08	-1.347770e+01	-1.348770e-11
-8.270000000000037e+00	-3.143847e-08	-1.347770e+01	-1.348770e-11
-8.260000000000037e+00	-3.143378e-08	-1.347770e+01	-1.348770e-11
-8.250000000000037e+00	-3.142909e-08	-1.347769e+01	-1.348770e-11
-8.240000000000038e+00	-3.142440e-08	-1.347769e+01	-1.348769e-11
-8.230000000000038e+00	-3.141971e-08	-1.347769e+01	-1.348769e-11
-8.220000000000038e+00	-3.141501e-08	-1.347769e+01	-1.348769e-11
-8.210000000000038e+00	-3.141032e-08	-1.347769e+01	-1.348769e-11
-8.200000000000038e+00	-3.140563e-08	-1.347769e+01	-1.348769e-11
-8.190000000000039e+00	-3.140094e-08	-1.347769e+01	-1.348769e-11
-8.180000000000039e+00	-3.139625e-08	-1.347769e+01	-1.348769e-11
-8.170000000000039e+00	-3.139156e-08	-1.347768e+01	-1.348768e-11
-8.160000000000039e+00	-3.138687e-08	-1.347768e+01	-1.348768e-11
-8.150000000000039e+00	-3.138218e-08	-1.347768e+01	-1.348768e-11
-8.140000000000040e+00	-3.137749e-08	-1.347768e+01	-1.348768e-11
-8.130000000000040e+00	-3.137280e-08	-1.347768e+01	-1.348768e-11
-8.120000000000040e+00	-3.136811e-08	-1.347768e+01	-1.348768e-11
-8.110000000000040e+00	-3.136342e-08	-1.347768e+01	-1.348768e-11
-8.100000000000041e+00	-3.135872e-08	-1.347768e+01	-1.348768e-11
-8.090000000000041e+00	-3.135403e-08	-1.347768e+01	-1.348768e-11
